Province_State,Country_Region,Lat,Long,ISO_3166,Region_Code,Region_Name,Sub_region_Code,Sub_region_Name
,Afghanistan,33.93911,67.709953,AFG,142,Asia,34,Southern Asia
,Albania,41.1533,20.1683,ALB,150,Europe,39,Southern Europe
,Algeria,28.0339,1.6596,DZA,2,Africa,15,Northern Africa
,Andorra,42.5063,1.5218,AND,150,Europe,39,Southern Europe
,Angola,-11.2027,17.8739,AGO,2,Africa,202,Sub-Saharan Africa
,Antigua and Barbuda,17.0608,-61.7964,ATG,19,Americas,419,Latin America and the Caribbean
,Argentina,-38.4161,-63.6167,ARG,19,Americas,419,Latin America and the Caribbean
,Armenia,40.0691,45.0382,ARM,142,Asia,145,Western Asia
Australian Capital Territory,Australia,-35.4735,149.0124,AUS,9,Oceania,53,Australia and New Zealand
New South Wales,Australia,-33.8688,151.2093,AUS,9,Oceania,53,Australia and New Zealand
Northern Territory,Australia,-12.4634,130.8456,AUS,9,Oceania,53,Australia and New Zealand
Queensland,Australia,-27.4698,153.0251,AUS,9,Oceania,53,Australia and New Zealand
South Australia,Australia,-34.9285,138.6007,AUS,9,Oceania,53,Australia and New Zealand
Tasmania,Australia,-42.8821,147.3272,AUS,9,Oceania,53,Australia and New Zealand
Victoria,Australia,-37.8136,144.9631,AUS,9,Oceania,53,Australia and New Zealand
Western Australia,Australia,-31.9505,115.8605,AUS,9,Oceania,53,Australia and New Zealand
,Austria,47.5162,14.5501,AUT,150,Europe,155,Western Europe
,Azerbaijan,40.1431,47.5769,AZE,142,Asia,145,Western Asia
,Bahamas,25.025885,-78.035889,BHS,19,Americas,419,Latin America and the Caribbean
,Bahrain,26.0275,50.55,BHR,142,Asia,145,Western Asia
,Bangladesh,23.685,90.3563,BGD,142,Asia,34,Southern Asia
,Barbados,13.1939,-59.5432,BRB,19,Americas,419,Latin America and the Caribbean
,Belarus,53.7098,27.9534,BLR,150,Europe,151,Eastern Europe
,Belgium,50.8333,4.469936,BEL,150,Europe,155,Western Europe
,Belize,17.1899,-88.4976,BLZ,19,Americas,419,Latin America and the Caribbean
,Benin,9.3077,2.3158,BEN,2,Africa,202,Sub-Saharan Africa
,Bhutan,27.5142,90.4336,BTN,142,Asia,34,Southern Asia
,Bolivia,-16.2902,-63.5887,BOL,19,Americas,419,Latin America and the Caribbean
,Bosnia and Herzegovina,43.9159,17.6791,BIH,150,Europe,39,Southern Europe
,Botswana,-22.3285,24.6849,BWA,2,Africa,202,Sub-Saharan Africa
,Brazil,-14.235,-51.9253,BRA,19,Americas,419,Latin America and the Caribbean
,Brunei,4.5353,114.7277,BRN,142,Asia,35,South-eastern Asia
,Bulgaria,42.7339,25.4858,BGR,150,Europe,151,Eastern Europe
,Burkina Faso,12.2383,-1.5616,BFA,2,Africa,202,Sub-Saharan Africa
,Burma,21.9162,95.956,MMR,142,Asia,35,South-eastern Asia
,Burundi,-3.3731,29.9189,BDI,2,Africa,202,Sub-Saharan Africa
,Cabo Verde,16.5388,-23.0418,CPV,2,Africa,202,Sub-Saharan Africa
,Cambodia,11.55,104.9167,KHM,142,Asia,35,South-eastern Asia
,Cameroon,3.848,11.5021,CMR,2,Africa,202,Sub-Saharan Africa
Alberta,Canada,53.9333,-116.5765,CAN,19,Americas,21,Northern America
British Columbia,Canada,53.7267,-127.6476,CAN,19,Americas,21,Northern America
Diamond Princess,Canada,0,0,,,,,
Grand Princess,Canada,0,0,,,,,
Manitoba,Canada,53.7609,-98.8139,CAN,19,Americas,21,Northern America
New Brunswick,Canada,46.5653,-66.4619,CAN,19,Americas,21,Northern America
Newfoundland and Labrador,Canada,53.1355,-57.6604,CAN,19,Americas,21,Northern America
Northwest Territories,Canada,64.8255,-124.8457,CAN,19,Americas,21,Northern America
Nova Scotia,Canada,44.682,-63.7443,CAN,19,Americas,21,Northern America
Nunavut,Canada,70.2998,-83.1076,CAN,19,Americas,21,Northern America
Ontario,Canada,51.2538,-85.3232,CAN,19,Americas,21,Northern America
Prince Edward Island,Canada,46.5107,-63.4168,CAN,19,Americas,21,Northern America
Quebec,Canada,52.9399,-73.5491,CAN,19,Americas,21,Northern America
Repatriated Travellers,Canada,,,CAN,19,Americas,21,Northern America
Saskatchewan,Canada,52.9399,-106.4509,CAN,19,Americas,21,Northern America
Yukon,Canada,64.2823,-135,CAN,19,Americas,21,Northern America
,Central African Republic,6.6111,20.9394,CAF,2,Africa,202,Sub-Saharan Africa
,Chad,15.4542,18.7322,TCD,2,Africa,202,Sub-Saharan Africa
,Chile,-35.6751,-71.543,CHL,19,Americas,419,Latin America and the Caribbean
Anhui,China,31.8257,117.2264,CHN,142,Asia,30,Eastern Asia
Beijing,China,40.1824,116.4142,CHN,142,Asia,30,Eastern Asia
Chongqing,China,30.0572,107.874,CHN,142,Asia,30,Eastern Asia
Fujian,China,26.0789,117.9874,CHN,142,Asia,30,Eastern Asia
Gansu,China,35.7518,104.2861,CHN,142,Asia,30,Eastern Asia
Guangdong,China,23.3417,113.4244,CHN,142,Asia,30,Eastern Asia
Guangxi,China,23.8298,108.7881,CHN,142,Asia,30,Eastern Asia
Guizhou,China,26.8154,106.8748,CHN,142,Asia,30,Eastern Asia
Hainan,China,19.1959,109.7453,CHN,142,Asia,30,Eastern Asia
Hebei,China,39.549,116.1306,CHN,142,Asia,30,Eastern Asia
Heilongjiang,China,47.862,127.7615,CHN,142,Asia,30,Eastern Asia
Henan,China,37.8957,114.9042,CHN,142,Asia,30,Eastern Asia
Hong Kong,China,22.3,114.2,HKG,142,Asia,30,Eastern Asia
Hubei,China,30.9756,112.2707,CHN,142,Asia,30,Eastern Asia
Hunan,China,27.6104,111.7088,CHN,142,Asia,30,Eastern Asia
Inner Mongolia,China,44.0935,113.9448,CHN,142,Asia,30,Eastern Asia
Jiangsu,China,32.9711,119.455,CHN,142,Asia,30,Eastern Asia
Jiangxi,China,27.614,115.7221,CHN,142,Asia,30,Eastern Asia
Jilin,China,43.6661,126.1923,CHN,142,Asia,30,Eastern Asia
Liaoning,China,41.2956,122.6085,CHN,142,Asia,30,Eastern Asia
Macau,China,22.1667,113.55,MAC,142,Asia,30,Eastern Asia
Ningxia,China,37.2692,106.1655,CHN,142,Asia,30,Eastern Asia
Qinghai,China,35.7452,95.9956,CHN,142,Asia,30,Eastern Asia
Shaanxi,China,35.1917,108.8701,CHN,142,Asia,30,Eastern Asia
Shandong,China,36.3427,118.1498,CHN,142,Asia,30,Eastern Asia
Shanghai,China,31.202,121.4491,CHN,142,Asia,30,Eastern Asia
Shanxi,China,37.5777,112.2922,CHN,142,Asia,30,Eastern Asia
Sichuan,China,30.6171,102.7103,CHN,142,Asia,30,Eastern Asia
Tianjin,China,39.3054,117.323,CHN,142,Asia,30,Eastern Asia
Tibet,China,31.6927,88.0924,CHN,142,Asia,30,Eastern Asia
Unknown,China,,,CHN,142,Asia,30,Eastern Asia
Xinjiang,China,41.1129,85.2401,CHN,142,Asia,30,Eastern Asia
Yunnan,China,24.974,101.487,CHN,142,Asia,30,Eastern Asia
Zhejiang,China,29.1832,120.0934,CHN,142,Asia,30,Eastern Asia
,Colombia,4.5709,-74.2973,COL,19,Americas,419,Latin America and the Caribbean
,Comoros,-11.6455,43.3333,COM,2,Africa,202,Sub-Saharan Africa
,Congo (Brazzaville),-0.228,15.8277,COG,2,Africa,202,Sub-Saharan Africa
,Congo (Kinshasa),-4.0383,21.7587,COD,2,Africa,202,Sub-Saharan Africa
,Costa Rica,9.7489,-83.7534,CRI,19,Americas,419,Latin America and the Caribbean
,Cote d'Ivoire,7.54,-5.5471,CIV,2,Africa,202,Sub-Saharan Africa
,Croatia,45.1,15.2,HRV,150,Europe,39,Southern Europe
,Cuba,21.521757,-77.781167,CUB,19,Americas,419,Latin America and the Caribbean
,Cyprus,35.1264,33.4299,CYP,142,Asia,145,Western Asia
,Czechia,49.8175,15.473,CZE,150,Europe,151,Eastern Europe
Faroe Islands,Denmark,61.8926,-6.9118,FRO,150,Europe,154,Northern Europe
